出現時間, AIタイプ, 出現位置, 敵タイプ, ｘｙ調整, 移動方向, 移動速度, ブレーキ, 待機時間, 加算移動方向, 最低速度, 弾発射時間
t, AI, angle, type, pos, dir, speed, brake, waitTimer, plusDir, waitSpeed, waitShot
280,Chase,1,0,0,0,5,0,90,0,0,60
285,Chase,1,1,110,0,5,0,90,0,0,60
290,Chase,1,0,220,0,5,0,90,0,0,60
295,Chase,1,1,330,0,5,0,90,0,0,60
300,Chase,1,0,0,0,5,0,90,0,0,60
305,Chase,1,1,110,0,5,0,90,0,0,60
310,Chase,1,0,220,0,5,0,90,0,0,60
315,Chase,1,1,330,0,5,0,90,0,0,60
320,Chase,1,0,0,0,5,0,90,0,0,60
325,Chase,1,1,110,0,5,0,90,0,0,60
330,Chase,1,0,220,0,5,0,90,0,0,60
335,Chase,1,1,330,0,5,0,90,0,0,60
340,Chase,1,0,0,0,5,0,90,0,0,60
345,Chase,1,1,110,0,5,0,90,0,0,60
350,Chase,1,0,220,0,5,0,90,0,0,60
355,Chase,1,1,330,0,5,0,90,0,0,60
360,Chase,1,0,0,0,5,0,90,0,0,60
365,Chase,1,1,110,0,5,0,90,0,0,60
370,Chase,1,0,220,0,5,0,90,0,0,60
375,Chase,1,1,330,0,5,0,90,0,0,60
380,Chase,1,0,0,0,5,0,90,0,0,60
385,Chase,1,1,110,0,5,0,90,0,0,60
390,Chase,1,0,220,0,5,0,90,0,0,60
395,Chase,1,1,330,0,5,0,90,0,0,60
400,Normal,1,0,-60,0,5,0.05,180,1,0,30
402,Normal,1,0,-60,0,5,0.04,180,0.95,0,30
404,Normal,1,0,-60,0,5,0.03,180,0.9,0,30
406,Normal,1,0,-60,0,5,0.02,180,0.85,0,30
408,Normal,1,0,-60,0,5,0.01,180,0.8,0,30
410,Normal,1,0,-60,0,5,0,180,0.75,0,30
412,Normal,1,0,-60,0,5.5,-0.01,180,0.7,0,30
414,Normal,1,0,-60,0,5.5,0.05,180,1,0,30
416,Normal,1,0,-60,0,5.5,0.04,180,0.95,0,30
